timestamp,raw_gaze_x,raw_gaze_y,smooth_x,smooth_y
1742878947.2403264,294.856841069608,-424.74785572134533,294.856841069608,-424.74785572134533
1742878947.2988114,307.5940131123334,-334.6783740158262,297.40427547815307,-406.7339593802415
1742878947.3323584,317.509487767853,-286.78196025713805,301.42531793609305,-382.7435595556209
1742878947.3651905,276.8250109598721,-343.88903168740217,296.5052565408489,-374.9726539819772
1742878947.392792,290.7722706657769,-343.09012867598176,295.3586593658345,-368.5961489207781
1742878947.4240053,288.4525862842802,-305.65001858635515,293.97744474952367,-356.0069228538935
1742878947.4581869,272.9733366029195,-313.5797480001438,289.7766231202029,-347.52148788314355
1742878947.4868317,281.7429936281387,-316.1578376683483,288.16989722179005,-341.2487578401845
1742878947.5155878,297.1001081611539,-280.458484731329,289.95593940966285,-329.0907032184134
1742878947.5467763,291.991192697702,-275.2562562476742,290.3629900672707,-318.3238138242656
1742878947.5791786,278.7315781714424,-289.1182090800794,288.036707688105,-312.48269287542837
1742878947.608187,284.48617556284444,-285.79670727933444,287.3266012630529,-307.1454957562096
1742878947.6385012,300.114063498866,-272.9642344834174,289.88409371021555,-300.30924350165117
1742878947.669638,294.10326941294625,-286.5853403370529,290.7279288507617,-297.56446286873154
1742878947.7039478,267.31779457141965,-298.3538790582552,286.0459019948933,-297.7223461066363
1742878947.7330825,300.280812209523,-276.7356265141061,288.8928840378193,-293.52500218813026
1742878947.7646239,279.22729668941247,-288.86129459309996,286.9597665681379,-292.59226066912424
1742878947.809801,245.144743668101,-295.6896542944796,278.59676198813054,-293.2117393941953
1742878947.8407347,264.5271279045319,-304.45688186828556,275.78283517141085,-295.46076788901337
1742878947.8868468,254.7693467316658,-327.0557493466258,271.58013748346184,-301.7797641805359
1742878947.91797,249.64165823457188,-363.53379667649097,267.19244163368387,-314.13057067972693
1742878947.9504201,247.49556919954557,-387.1510460155441,263.2530671468562,-328.7346657468904
1742878947.9835064,231.01240393634725,-393.8666018706099,256.80493450475444,-341.7610529716343
1742878948.0129793,217.15481307352456,-406.6970869335564,248.8749102185085,-354.7482597640187
1742878948.0433261,197.86541056847636,-444.99954184537455,238.67301028850207,-372.7985161802899
1742878948.075348,208.34805169945503,-446.3493781796187,232.60801857069265,-387.5086885801557
1742878948.1071925,202.74087783700998,-451.42836721884123,226.63459042395613,-400.2926243078928
1742878948.1542168,181.93682280522626,-475.4519423068068,217.69503690021017,-415.3244879076757
1742878948.1840136,180.91844094451517,-482.763321121045,210.33971770907118,-428.8122545503496
1742878948.2153485,190.42289659271955,-481.7956264511904,206.35635348580087,-439.4089289305178
1742878948.2510777,197.2372869484716,-464.795374540543,204.532540178335,-444.4862180525229
1742878948.2828882,156.76991475316754,-496.88732341728246,194.98001509330152,-454.9664391254748
1742878948.3133476,170.3077014662813,-499.3936890539808,190.04555236789747,-463.85188911117604
1742878948.3440866,157.72711861010066,-499.82668355363967,183.58186561633812,-471.0468479996688
1742878948.3729196,148.0406749651047,-507.8972107198024,176.47362748609143,-478.41692054369554
1742878948.4051235,152.08703672396587,-519.4050251324898,171.59630933366634,-486.61454146145445
1742878948.4372473,159.35242160575763,-502.6075219852628,169.14753178808462,-489.81313756621614
1742878948.4828618,146.1183163193382,-511.6744003049989,164.54168869433536,-494.18539011397274
1742878948.515142,160.91433800544837,-529.5192730854869,163.81621855655797,-501.25216670827564
1742878948.545407,165.42406240663513,-526.5361828236892,164.1377873265734,-506.3089699313584
1742878948.5756032,167.9908882546424,-504.62424273252327,164.9084075121872,-505.9720244915914
1742878948.6084194,162.04867095635018,-504.9727585807577,164.33646020101983,-505.77217130942466
1742878948.6382377,160.9693319510843,-527.7568165145767,163.66303455103275,-510.1691003504551
1742878948.684841,175.76115731201753,-505.4773114675045,166.0826591032297,-509.230742573865
1742878948.7168334,166.9100032348415,-522.1133113105388,166.24812792955206,-511.8072563211998
1742878948.7483141,151.18924399705247,-520.6296342893293,163.23635114305216,-513.5717319148257
1742878948.779342,155.39131150559842,-527.7687429124235,161.6673432155614,-516.4111341143453
1742878948.828448,160.88717232146155,-516.4544011759426,161.51130903674144,-516.4197875266648
1742878948.856242,159.27512087896866,-520.9486654317698,161.0640714051869,-517.3255631076859
1742878948.8862796,160.9797123343924,-515.2471846826338,161.047199591028,-516.9098874226754
1742878948.9172885,159.49995556432805,-513.9957411306386,160.73775078568804,-516.327058164268
1742878948.9483995,165.3427862138833,-491.3188551330368,161.6587578713271,-511.3254175580218
1742878948.9795623,158.3888128314611,-511.1042522300868,161.00476886335392,-511.2811844924348
1742878949.0100188,154.90497950445024,-513.4878753555986,159.78481099157318,-511.72252266506763
1742878949.0421243,161.70898947688875,-497.28834854493107,160.1696466886363,-508.83568784104034
1742878949.086466,171.01886815278885,-507.0887003323387,162.33949098146684,-508.4862903393
1742878949.1350589,183.3143217567067,-494.9325536810684,166.53445713651482,-505.7755430076537
1742878949.164691,185.85619051292633,-489.52558870101893,170.39880381179714,-502.52555214632673
1742878949.1972556,189.51472348249263,-490.27628918780465,174.22198774593625,-500.07569955462236
1742878949.226497,184.3949859172917,-502.19042934940444,176.25658738020735,-500.4986455135788
1742878949.2571735,197.52131190463842,-492.69751359541806,180.50953228509357,-498.9384191299467
1742878949.2883306,201.3154524349302,-498.2638285022749,184.6707163150609,-498.8035010044124
1742878949.3208716,204.13472037073188,-493.2022321265831,188.5635171261951,-497.68324722884654
1742878949.351926,201.29513338674406,-492.7478694974452,191.1098403783049,-496.6961716825663
1742878949.3811026,222.62925054512016,-482.5958546179281,197.41372241166795,-493.8761082696387
1742878949.411307,228.90871987145874,-479.9761882016737,203.71272190362612,-491.09612425604575
1742878949.4442017,247.67424430807296,-503.63137011166145,212.5050263845155,-493.60317342716894
1742878949.4909265,256.071311830141,-506.298742119312,221.2182834736406,-496.14228716559757
1742878949.5221796,254.6419109621038,-507.4095535633496,227.90300897133326,-498.395740445148
1742878949.5513134,258.2781371505116,-511.61195236072126,233.97803460716895,-501.0389828282627
1742878949.5819805,281.4816067419961,-504.6368317080396,243.4787490341344,-501.7585526042181
1742878949.6144147,282.1809574602685,-506.765693723959,251.21919071936122,-502.7599808281663
1742878949.645593,288.3586106864568,-500.3641996788938,258.64707471278035,-502.2808245983118
1742878949.6783102,293.8821893343538,-501.8815025162585,265.69409763709507,-502.20096018190117
1742878949.7095203,298.38241678910344,-496.69202865252737,272.23176146749677,-501.09917387602644
1742878949.7419426,284.8926669562152,-502.464073922265,274.7639425652405,-501.3721538852742
1742878949.7700572,294.6635892526392,-505.0060531080944,278.74387190272023,-502.0989337298383
1742878949.800032,302.3076372661162,-501.45844668147765,283.45662497539945,-501.97083632016614
1742878949.836667,309.55612641762673,-501.18761806367183,288.67652526384495,-501.8141926688673
1742878949.865505,310.14515795580337,-508.18808231178264,292.97025180223665,-503.0889705974504
1742878949.8936617,292.5557088625628,-502.83693949944063,292.8873432143019,-503.0385643778485
1742878949.928975,282.4523934409226,-500.04566546969727,290.80035325962604,-502.43998459621827
1742878949.9568653,299.9416828781614,-511.007515891999,292.6286191833331,-504.15349085537446
1742878949.9893417,291.64234556068004,-491.88950014120564,292.43136445880253,-501.70069271254073
1742878950.0186152,292.2521378654819,-501.64761260290106,292.3955191401384,-501.69007669061284
1742878950.0511541,303.9679464480523,-507.90251134108075,294.7100046017212,-502.93256362070645
1742878950.0812452,300.57764700045846,-505.4624034702065,295.88353308146867,-503.4385315906065
1742878950.1442442,299.7362838041081,-512.2485238458776,296.65408322599654,-505.2005300416607
1742878950.1761522,307.94871301874446,-508.88544529707724,298.9130091845461,-505.93751309274404
1742878950.2100766,294.01735517663474,-496.84591231365266,297.9338783829639,-504.1191929369258
1742878950.239742,299.3700992183185,-497.2085079371227,298.2211225500348,-502.73705593696525
1742878950.2692587,311.8172831059728,-501.5000234295294,300.94035466122244,-502.4896494354781
1742878950.3017495,325.7604569163177,-497.922104075049,305.9043751122415,-501.5761403633923
